nces_lea_id,district_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,enrollment_elem,enrollment_middle,enrollment_high,enrollment_ungraded,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,idea_students,sped_teacher_fte,sped_paraprofessional_fte,english_learner_students,title3_teacher_count,idea_students_per_sped_teacher_fte,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,psychologists_per_1000,student_support_per_1000,coordinators_per_1000,school_administrators_per_1000,school_year
2905310,BLUE SPRINGS R-IV,MO,Jackson County,21,20,14657,210,14447,946,5403,3370,4728,0,21.5,61.45,391.78,526.81,0.0,1001.54,980.04,0.0,138.0,18.1,54.0,2.0,85.39,13.0,61.0,0.0,9.0,158.0,864.0,2404.03,,,,,,,14.74,12.92,67.84,9.55,3.74,0.14,5.91,1.25,4.22,2024-2025
2908250,CENTER 58,MO,Jackson County,8,7,2339,120,2219,177,870,493,679,0,11.3,9.0,82.61,107.19,0.0,210.1,198.8,-0.0,52.0,9.0,10.0,3.0,31.16,1.0,13.0,0.0,3.34,35.0,47.0,414.6,,,,,,,11.16,8.85,89.59,23.43,4.51,1.35,14.04,4.06,5.86,2024-2025
2910320,SHERWOOD CASS R-VIII,MO,Cass County,3,3,733,38,695,50,248,176,221,0,1.0,3.93,24.07,33.14,0.0,62.14,61.14,0.0,18.71,2.95,3.0,0.0,4.55,0.86,3.0,0.0,1.0,6.0,17.0,119.21,,,,,,,11.37,8.7,87.97,26.92,4.32,0.0,6.55,4.24,4.32,2024-2025
2911070,DREXEL R-IV,MO,Cass County,2,2,259,0,259,17,108,67,67,0,0.0,1.5,11.47,14.93,0.0,27.9,27.9,0.0,6.0,0.0,0.0,0.0,1.2,0.0,2.0,0.0,0.9,3.0,3.0,44.0,,,,,,,9.28,7.64,107.72,23.17,0.0,0.0,4.63,0.0,7.72,2024-2025
2911160,EAST LYNNE 40,MO,Cass County,1,1,155,11,144,12,85,47,0,0,1.0,1.44,13.36,0.0,0.0,15.8,14.8,0.0,5.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,1.0,2.0,8.0,32.5,,,,,,,9.73,7.27,102.78,34.72,3.47,0.0,0.0,0.0,0.0,2024-2025
2911650,EXCELSIOR SPRINGS 40,MO,Clay County,8,6,2661,151,2510,183,876,540,911,0,8.0,10.55,72.2,102.62,0.0,193.37,185.37,0.0,42.0,8.0,7.0,0.0,14.45,3.5,12.05,0.0,4.75,0.0,1.51,287.63,,,,,,,13.54,11.04,73.85,16.73,2.79,0.0,5.76,3.19,4.8,2024-2025
2912290,FORT OSAGE R-I,MO,Jackson County,11,9,4718,133,4585,311,1710,1019,1545,0,10.29,20.98,158.78,166.72,0.0,356.77,346.48,-0.0,87.8,3.1,16.0,0.0,32.95,11.0,15.9,0.0,7.25,70.0,194.88,795.65,,,,,,,13.23,10.56,75.57,19.15,3.49,0.0,7.19,0.68,3.47,2024-2025
2913080,GRAIN VALLEY R-V,MO,Jackson County,8,8,4546,83,4463,298,1640,1043,1482,0,10.0,17.67,156.54,172.12,0.0,356.33,346.33,0.0,79.5,10.6,12.0,2.0,26.57,6.88,19.33,0.0,3.0,36.0,165.75,717.96,,,,,,,12.89,10.48,77.6,17.81,2.69,0.45,5.95,2.38,4.33,2024-2025
2913140,GRANDVIEW C-4,MO,Jackson County,9,8,3665,132,3533,237,1306,787,1203,0,8.0,16.46,120.54,114.54,0.0,259.54,251.54,0.0,44.44,12.0,11.0,4.0,18.75,4.25,13.95,0.0,4.0,43.0,60.5,475.43,,,,,,,14.05,11.94,71.2,12.58,3.11,1.13,5.31,3.4,3.95,2024-2025
2913680,HARDIN-CENTRAL C-2,MO,Ray County,2,2,205,10,195,15,68,45,67,0,1.04,1.13,9.4,12.58,0.0,24.15,23.11,0.0,2.9,0.0,1.0,0.0,2.06,0.0,1.9,0.0,1.0,0.0,0.0,33.01,,,,,,,8.44,7.5,118.51,14.87,5.13,0.0,10.56,0.0,9.74,2024-2025
2913760,HARRISONVILLE R-IX,MO,Cass County,7,5,2187,96,2091,147,698,503,743,0,4.0,7.0,54.64,99.51,0.0,165.15,161.15,0.0,24.0,6.75,9.0,0.0,18.5,4.0,7.3,0.0,5.0,25.0,13.56,278.26,,,,,,,12.98,11.29,77.07,11.48,4.3,0.0,8.85,3.23,3.49,2024-2025
2914340,HICKMAN MILLS C-1,MO,Jackson County,12,11,5067,366,4701,434,1959,1009,1299,0,30.4,23.79,151.06,194.34,0.0,399.59,369.19,0.0,54.0,17.0,15.01,4.37,56.4,10.0,21.0,0.0,4.0,76.0,111.1,768.47,,,,,,,12.73,11.11,78.53,11.49,3.19,0.93,12.0,3.62,4.47,2024-2025
2915480,INDEPENDENCE 30,MO,Jackson County,31,30,14272,709,13563,974,5278,3107,4204,0,32.0,65.09,389.84,483.52,0.0,970.45,938.45,0.0,142.58,22.0,38.42,6.0,139.62,25.9,59.0,0.0,10.0,0.0,15.0,1428.97,,,,,,,14.45,12.55,69.19,10.51,2.83,0.44,10.29,1.62,4.35,2024-2025
2916400,KANSAS CITY 33,MO,Jackson County,33,32,15079,1104,13975,1142,5652,2843,4338,0,42.01,80.73,545.43,455.11,0.0,1123.28,1081.27,0.0,130.4,35.56,37.5,23.0,87.31,16.3,57.3,0.0,5.5,0.0,0.0,1516.15,,,,,,,12.92,11.53,77.37,9.33,2.68,1.65,6.25,2.54,4.1,2024-2025
2916450,KEARNEY R-I,MO,Clay County,9,9,3424,44,3380,234,1231,864,1051,0,7.27,12.0,96.81,135.35,0.0,251.43,244.16,0.0,74.81,5.35,11.0,0.0,26.15,7.0,13.0,0.0,3.0,28.0,55.14,474.88,,,,,,,13.84,10.6,72.24,22.13,3.25,0.0,7.74,1.58,3.85,2024-2025
2918220,LAWSON R-XIV,MO,Ray County,3,3,1143,46,1097,79,390,266,362,0,2.75,4.85,25.15,49.75,0.0,82.5,79.75,0.0,13.5,0.9,2.75,0.0,3.35,0.0,6.0,0.0,1.0,0.0,0.0,110.5,,,,,,,13.76,11.76,72.7,12.31,2.51,0.0,3.05,0.82,5.47,2024-2025
2918300,LEE'S SUMMIT R-VII,MO,Jackson County,29,28,17870,506,17364,1063,6289,4020,5992,0,40.53,73.03,449.56,661.73,0.0,1224.85,1184.32,0.0,187.43,9.75,49.0,4.0,125.76,22.0,69.0,0.0,8.0,161.0,667.0,2527.79,,,,,,,14.66,12.66,68.21,10.79,2.82,0.23,7.24,0.56,3.97,2024-2025
2918540,LIBERTY 53,MO,Clay County,20,18,11826,45,11781,671,4153,2853,4104,0,25.0,45.34,327.97,458.19,0.0,856.5,831.5,0.0,149.37,22.72,39.9,10.0,61.98,15.76,42.85,6.37,7.0,84.64,722.47,2019.56,,,,,,,14.17,12.01,70.58,12.68,3.39,0.85,5.26,1.93,3.64,2024-2025
2919230,LONE JACK C-6,MO,Jackson County,2,2,733,61,672,31,241,152,248,0,2.0,2.3,20.2,31.4,0.0,55.9,53.9,0.0,9.25,3.36,2.74,0.0,5.5,0.93,3.0,0.0,1.0,6.75,9.0,97.43,,,,,,,12.47,10.64,80.21,13.76,4.08,0.0,8.18,5.0,4.46,2024-2025
2921060,MISSOURI CITY 56,MO,Clay County,1,1,14,0,14,0,8,6,0,0,0.0,0.0,3.3,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.2,0.0,0.5,0.2,1.0,0.0,0.1,0.0,0.0,5.3,,,,,,,4.24,4.24,235.71,0.0,14.29,0.0,35.71,0.0,71.43,2024-2025
